indicator,country,year,slope,ratio,q1,q2,q3,q4,q5
U5MR,Chad,2014,-0.2589093296284797,1.1666666666666667,161.0,164.0,142.0,133.0,138.0
U5MR,Colombia,2015,-1.5010671528854818,3.857142857142857,27.0,23.0,12.0,17.0,7.0
U5MR,Comoros,2012,-0.3109461386943153,1.3,52.0,54.0,50.0,49.0,40.0
U5MR,Congo,2011,-0.6401035159010652,1.6481481481481481,89.0,98.0,81.0,74.0,54.0
U5MR,Congo Democratic Republic,2023,-0.9327551762343439,2.1458333333333335,103.0,101.0,85.0,72.0,48.0
U5MR,Cote d'Ivoire,2021,-0.7690426529749085,1.9215686274509804,98.0,87.0,73.0,69.0,51.0
U5MR,Dominican Republic,2013,-1.2627951132122202,2.4705882352941178,42.0,43.0,39.0,21.0,17.0
U5MR,Egypt,2014,-0.9273626324142674,2.210526315789474,42.0,34.0,29.0,26.0,19.0
U5MR,Eritrea,2002,-0.6142080520826448,1.5384615384615385,100.0,127.0,142.0,88.0,65.0
U5MR,Eswatini,2006,-0.07651411882654253,1.1584158415841583,117.0,99.0,96.0,114.0,101.0
U5MR,Ethiopia,2024,-0.7030271928866371,1.911764705882353,65.0,48.0,66.0,43.0,34.0
U5MR,Gabon,2019,-0.8278330127811783,2.423076923076923,63.0,33.0,33.0,37.0,26.0
U5MR,Gambia,2019,-0.43056039528667345,1.3018867924528301,69.0,67.0,62.0,48.0,53.0
U5MR,Ghana,2022,-0.92903709488344,2.24,56.0,46.0,48.0,36.0,25.0
U5MR,Guatemala,2015,-1.238487017531146,2.8,56.0,41.0,36.0,27.0,20.0
U5MR,Guinea,2018,-1.3014292232492342,3.022727272727273,133.0,133.0,113.0,90.0,44.0
U5MR,Guyana,2009,0.2739799881102863,0.7272727272727273,32.0,47.0,34.0,43.0,44.0
U5MR,Haiti,2016,-0.44934770133572205,1.576271186440678,93.0,87.0,78.0,88.0,59.0
U5MR,Honduras,2011,-0.6496455504902163,1.95,39.0,27.0,29.0,28.0,20.0
U5MR,India,2020,-1.1824427548435519,2.6363636363636362,58.0,49.0,40.0,32.0,22.0
U5MR,Indonesia,2017,-0.8044500667241493,2.1666666666666665,52.0,33.0,29.0,31.0,24.0
U5MR,Jordan,2023,-0.8816799973531761,1.8,18.0,18.0,19.0,10.0,10.0
U5MR,Kazakhstan,1999,-0.9535270088400731,1.8222222222222222,82.0,73.0,72.0,36.0,45.0
U5MR,Kenya,2022,-0.23922968906583544,1.2702702702702702,47.0,46.0,41.0,46.0,37.0
U5MR,Kyrgyz Republic,2012,-0.3665762575868225,1.2857142857142858,36.0,34.0,40.0,27.0,28.0
U5MR,Lesotho,2023,-0.01265237184417918,1.1851851851851851,64.0,46.0,64.0,63.0,54.0
U5MR,Liberia,2019,-0.4812232603295673,1.6721311475409837,102.0,103.0,106.0,110.0,61.0
U5MR,Madagascar,2021,-0.7295743101516813,1.8,81.0,81.0,68.0,61.0,45.0
U5MR,Malawi,2024,-0.24293193887012066,1.2619047619047619,53.0,49.0,54.0,48.0,42.0
U5MR,Maldives,2009,-0.5324561851111334,1.3333333333333333,28.0,31.0,33.0,19.0,21.0
U5MR,Mali,2023,-1.1646471201545103,2.576923076923077,134.0,116.0,94.0,75.0,52.0
U5MR,Mauritania,2020,-0.9965257102672269,2.125,51.0,52.0,46.0,32.0,24.0
U5MR,Moldova,2005,-0.6546635143387002,1.7058823529411764,29.0,28.0,33.0,22.0,17.0
U5MR,Morocco,2003,-1.3803469672938151,3.0,78.0,65.0,47.0,37.0,26.0
U5MR,Mozambique,2022,-0.18695947802521537,1.28,64.0,55.0,67.0,62.0,50.0
U5MR,Myanmar,2016,-1.7180933381365544,3.8076923076923075,99.0,90.0,66.0,42.0,26.0
